route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"24-10-E-j20-4","02","10","","3","8000ff","FFFFFF"
"24-21-E-j20-1","02","21","","3","8000ff","FFFFFF"
"24-21-E-j20-2","02","21","","3","8000ff","FFFFFF"
"24-21-E-j20-3","02","21","","3","8000ff","FFFFFF"
"24-22-E-j20-1","02","22","","3","8000ff","FFFFFF"
"24-23-E-j20-1","02","23","","3","8000ff","FFFFFF"
"24-24-E-j20-1","02","24","","3","8000ff","FFFFFF"
"24-26-E-j20-1","02","26","","3","8000ff","FFFFFF"
"24-27-E-j20-1","02","27","","3","8000ff","FFFFFF"
"24-29-E-j20-1","02","29","","3","8000ff","FFFFFF"
"24-30-E-j20-1","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-2","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-3","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-4","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-5","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-6","02","30","","3","8000ff","FFFFFF"
"24-30-E-j20-7","02","30","","3","8000ff","FFFFFF"
"24-31-E-j20-1","02","31","","3","8000ff","FFFFFF"
"24-31-X-j20-1","02","31X","","3","8000ff","FFFFFF"
"24-32-E-j20-1","02","32","","3","8000ff","FFFFFF"
"24-42-E-j20-1","02","42","","3","8000ff","FFFFFF"
"24-44-E-j20-1","02","44","","3","8000ff","FFFFFF"
"24-47-E-j20-1","02","47","","3","8000ff","FFFFFF"
"24-50-E-j20-1","02","50","","3","8000ff","FFFFFF"
"24-51-E-j20-1","02","51","","3","8000ff","FFFFFF"
"24-52-E-j20-1","02","52","","3","8000ff","FFFFFF"
"24-55-E-j20-1","02","55","","3","8000ff","FFFFFF"
"24-55-E-j20-2","02","55","","3","8000ff","FFFFFF"
"24-60-E-j20-1","02","60","","3","8000ff","FFFFFF"
"24-60-E-j20-2","02","60","","3","8000ff","FFFFFF"
"24-62-E-j20-1","02","62","","3","8000ff","FFFFFF"
"24-62-E-j20-2","02","62","","3","8000ff","FFFFFF"
"24-70-E-j20-1","02","70","","3","8000ff","FFFFFF"
"24-71-E-j20-1","02","71","","3","8000ff","FFFFFF"
"24-71-E-j20-2","02","71","","3","8000ff","FFFFFF"
"24-72-E-j20-1","02","72","","3","8000ff","FFFFFF"
"24-73-E-j20-1","02","73","","3","8000ff","FFFFFF"
"24-73-E-j20-2","02","73","","3","8000ff","FFFFFF"
"24-74-E-j20-1","02","74","","3","8000ff","FFFFFF"
"24-74-E-j20-2","02","74","","3","8000ff","FFFFFF"
"24-75-E-j20-1","02","75","","3","8000ff","FFFFFF"
"24-76-E-j20-1","02","76","","3","8000ff","FFFFFF"
"24-76-E-j20-2","02","76","","3","8000ff","FFFFFF"
"24-76-E-j20-3","02","76","","3","8000ff","FFFFFF"
"24-76-E-j20-4","02","76","","3","8000ff","FFFFFF"
"24-83-E-j20-1","02","83","","3","8000ff","FFFFFF"
"24-89-H-j20-4","02","M","","3","8000ff","FFFFFF"
"24-89-M-j20-1","02","M","","3","8000ff","FFFFFF"
"24-89-M-j20-2","02","M","","3","8000ff","FFFFFF"
"24-89-M-j20-3","02","M","","3","8000ff","FFFFFF"
"24-89-M-j20-4","02","M","","3","8000ff","FFFFFF"
"24-90-M-j20-1","02","M","","3","8000ff","FFFFFF"
"24-90-M-j20-2","02","M","","3","8000ff","FFFFFF"
"24-90-M-j20-3","02","M","","3","8000ff","FFFFFF"
"24-90-M-j20-4","02","M","","3","8000ff","FFFFFF"
"24-90-M-j20-5","02","M","","3","8000ff","FFFFFF"
"27-271-E-j20-1","11","271","","3","8000ff","FFFFFF"
"27-271-E-j20-2","11","271","","3","8000ff","FFFFFF"
"27-272-E-j20-1","11","272","","3","8000ff","FFFFFF"
"27-273-E-j20-1","11","273","","3","8000ff","FFFFFF"
"27-274-E-j20-1","11","274","","3","8000ff","FFFFFF"
"27-275-E-j20-1","11","275","","3","8000ff","FFFFFF"
"27-281-C-j20-1","11","281","","3","8000ff","FFFFFF"
"27-RB1-C-j20-1","11","RB1","","3","8000ff","FFFFFF"
